DATA,VENDAS,FDS,DATA_FESTIVA,VESPERA_DATA_FESTIVA,POS_DATA_FESTIVA,FERIADO,SEMANA_PAGAMENTO,ALTA_TEMPORADA,QTD_CONCORRENTES,PRECIPITACAO,TEMPERATURA,UMIDADE,VENDAS_ONTEM
2018-02-14,132,0,0,0,1,0,0,0,7,5,30,70,132.0
2018-02-15,149,0,0,0,1,0,0,0,7,5,30,65,132.0
2018-02-16,130,0,0,0,0,0,0,0,7,5,35,65,149.0
2018-02-17,174,1,0,0,0,0,0,0,7,5,35,70,130.0
2018-02-18,185,1,0,0,0,0,0,0,7,5,35,60,174.0
2018-02-19,121,0,0,0,0,0,0,0,7,5,30,75,185.0
2018-02-20,110,0,0,0,0,0,0,0,7,5,30,95,121.0
2018-02-21,105,0,0,0,0,0,0,0,7,30,30,85,110.0
2018-02-22,129,0,0,0,0,0,0,0,7,15,30,75,105.0
2018-02-23,143,0,0,0,0,0,0,0,7,5,30,75,129.0
2018-02-26,154,0,0,0,0,0,0,0,8,5,30,75,224.0
2018-02-27,161,0,0,0,0,0,0,0,8,5,30,85,154.0
2018-02-28,116,0,0,0,0,0,1,0,8,30,30,85,161.0
2018-03-01,116,0,0,0,0,0,0,1,8,5,35,85,116.0
2018-03-02,109,0,0,0,0,0,0,1,8,5,30,80,116.0
2018-03-03,124,1,0,0,0,0,0,1,8,5,30,75,109.0
2018-03-04,139,1,0,0,0,0,0,1,8,5,35,80,124.0
2018-03-05,107,0,0,0,0,0,1,1,8,10,35,80,139.0
2018-03-06,116,0,0,0,0,0,1,1,8,5,30,85,107.0
2018-03-07,139,0,0,0,0,0,1,1,8,5,30,65,116.0
2018-03-08,150,0,0,0,0,0,1,1,8,5,30,70,139.0
2018-03-09,168,0,0,0,0,0,1,1,8,5,30,80,150.0
2018-03-10,131,1,0,0,0,0,1,1,8,5,35,75,168.0
2018-03-11,146,1,0,0,0,0,0,1,8,5,35,65,131.0
2018-03-12,139,0,0,0,0,0,0,1,8,10,25,65,146.0
2018-03-13,155,0,0,0,0,0,0,1,8,5,30,60,139.0
2018-03-14,186,0,0,0,0,0,0,1,8,5,35,65,155.0
